"Statistic Label","Quarter","State","UNIT","VALUE"
"GVA at Constant Basic Prices","1995Q1","State","Euro Million","21283"
"GVA at Constant Basic Prices","1995Q2","State","Euro Million","22083"
"GVA at Constant Basic Prices","1995Q3","State","Euro Million","22529"
"GVA at Constant Basic Prices","1995Q4","State","Euro Million","22342"
"GVA at Constant Basic Prices","1996Q1","State","Euro Million","22989"
"GVA at Constant Basic Prices","1996Q2","State","Euro Million","24022"
"GVA at Constant Basic Prices","1996Q3","State","Euro Million","23775"
"GVA at Constant Basic Prices","1996Q4","State","Euro Million","23722"
"GVA at Constant Basic Prices","1997Q1","State","Euro Million","24656"
"GVA at Constant Basic Prices","1997Q2","State","Euro Million","26327"
"GVA at Constant Basic Prices","1997Q3","State","Euro Million","26393"
"GVA at Constant Basic Prices","1997Q4","State","Euro Million","26941"
"GVA at Constant Basic Prices","1998Q1","State","Euro Million","27120"
"GVA at Constant Basic Prices","1998Q2","State","Euro Million","28211"
"GVA at Constant Basic Prices","1998Q3","State","Euro Million","29099"
"GVA at Constant Basic Prices","1998Q4","State","Euro Million","28387"
"GVA at Constant Basic Prices","1999Q1","State","Euro Million","29589"
"GVA at Constant Basic Prices","1999Q2","State","Euro Million","30060"
"GVA at Constant Basic Prices","1999Q3","State","Euro Million","31697"
"GVA at Constant Basic Prices","1999Q4","State","Euro Million","32547"
"GVA at Constant Basic Prices","2000Q1","State","Euro Million","31694"
"GVA at Constant Basic Prices","2000Q2","State","Euro Million","33709"
"GVA at Constant Basic Prices","2000Q3","State","Euro Million","33964"
"GVA at Constant Basic Prices","2000Q4","State","Euro Million","35794"
"GVA at Constant Basic Prices","2001Q1","State","Euro Million","34388"
"GVA at Constant Basic Prices","2001Q2","State","Euro Million","36216"
"GVA at Constant Basic Prices","2001Q3","State","Euro Million","35403"
"GVA at Constant Basic Prices","2001Q4","State","Euro Million","37306"
"GVA at Constant Basic Prices","2002Q1","State","Euro Million","36458"
"GVA at Constant Basic Prices","2002Q2","State","Euro Million","38304"
"GVA at Constant Basic Prices","2002Q3","State","Euro Million","37588"
"GVA at Constant Basic Prices","2002Q4","State","Euro Million","39908"
"GVA at Constant Basic Prices","2003Q1","State","Euro Million","37115"
"GVA at Constant Basic Prices","2003Q2","State","Euro Million","39370"
"GVA at Constant Basic Prices","2003Q3","State","Euro Million","37639"
"GVA at Constant Basic Prices","2003Q4","State","Euro Million","42136"
"GVA at Constant Basic Prices","2004Q1","State","Euro Million","39864"
"GVA at Constant Basic Prices","2004Q2","State","Euro Million","42577"
"GVA at Constant Basic Prices","2004Q3","State","Euro Million","40120"
"GVA at Constant Basic Prices","2004Q4","State","Euro Million","43594"
"GVA at Constant Basic Prices","2005Q1","State","Euro Million","41747"
"GVA at Constant Basic Prices","2005Q2","State","Euro Million","44650"
"GVA at Constant Basic Prices","2005Q3","State","Euro Million","41712"
"GVA at Constant Basic Prices","2005Q4","State","Euro Million","45897"
"GVA at Constant Basic Prices","2006Q1","State","Euro Million","43946"
"GVA at Constant Basic Prices","2006Q2","State","Euro Million","46021"
"GVA at Constant Basic Prices","2006Q3","State","Euro Million","44573"
"GVA at Constant Basic Prices","2006Q4","State","Euro Million","46672"
"GVA at Constant Basic Prices","2007Q1","State","Euro Million","47725"
"GVA at Constant Basic Prices","2007Q2","State","Euro Million","48910"
"GVA at Constant Basic Prices","2007Q3","State","Euro Million","46340"
"GVA at Constant Basic Prices","2007Q4","State","Euro Million","49788"
"GVA at Constant Basic Prices","2008Q1","State","Euro Million","47353"
"GVA at Constant Basic Prices","2008Q2","State","Euro Million","48154"
"GVA at Constant Basic Prices","2008Q3","State","Euro Million","46684"
"GVA at Constant Basic Prices","2008Q4","State","Euro Million","45521"
"GVA at Constant Basic Prices","2009Q1","State","Euro Million","45290"
"GVA at Constant Basic Prices","2009Q2","State","Euro Million","46517"
"GVA at Constant Basic Prices","2009Q3","State","Euro Million","44574"
"GVA at Constant Basic Prices","2009Q4","State","Euro Million","44430"
"GVA at Constant Basic Prices","2010Q1","State","Euro Million","45124"
"GVA at Constant Basic Prices","2010Q2","State","Euro Million","46960"
"GVA at Constant Basic Prices","2010Q3","State","Euro Million","45745"
"GVA at Constant Basic Prices","2010Q4","State","Euro Million","46219"
"GVA at Constant Basic Prices","2011Q1","State","Euro Million","45994"
"GVA at Constant Basic Prices","2011Q2","State","Euro Million","48439"
"GVA at Constant Basic Prices","2011Q3","State","Euro Million","46512"
"GVA at Constant Basic Prices","2011Q4","State","Euro Million","46550"
"GVA at Constant Basic Prices","2012Q1","State","Euro Million","45177"
"GVA at Constant Basic Prices","2012Q2","State","Euro Million","48722"
"GVA at Constant Basic Prices","2012Q3","State","Euro Million","46059"
"GVA at Constant Basic Prices","2012Q4","State","Euro Million","47144"
"GVA at Constant Basic Prices","2013Q1","State","Euro Million","44282"
"GVA at Constant Basic Prices","2013Q2","State","Euro Million","47687"
"GVA at Constant Basic Prices","2013Q3","State","Euro Million","48370"
"GVA at Constant Basic Prices","2013Q4","State","Euro Million","48441"
"GVA at Constant Basic Prices","2014Q1","State","Euro Million","48723"
"GVA at Constant Basic Prices","2014Q2","State","Euro Million","51347"
"GVA at Constant Basic Prices","2014Q3","State","Euro Million","52296"
"GVA at Constant Basic Prices","2014Q4","State","Euro Million","52858"
"GVA at Constant Basic Prices","2015Q1","State","Euro Million","63714"
"GVA at Constant Basic Prices","2015Q2","State","Euro Million","62491"
"GVA at Constant Basic Prices","2015Q3","State","Euro Million","65694"
"GVA at Constant Basic Prices","2015Q4","State","Euro Million","67045"
"GVA at Constant Basic Prices","2016Q1","State","Euro Million","61875"
"GVA at Constant Basic Prices","2016Q2","State","Euro Million","62874"
"GVA at Constant Basic Prices","2016Q3","State","Euro Million","64387"
"GVA at Constant Basic Prices","2016Q4","State","Euro Million","73471"
"GVA at Constant Basic Prices","2017Q1","State","Euro Million","66463"
"GVA at Constant Basic Prices","2017Q2","State","Euro Million","68667"
"GVA at Constant Basic Prices","2017Q3","State","Euro Million","74257"
"GVA at Constant Basic Prices","2017Q4","State","Euro Million","78835"
"GVA at Constant Basic Prices","2018Q1","State","Euro Million","74824"
"GVA at Constant Basic Prices","2018Q2","State","Euro Million","77612"
"GVA at Constant Basic Prices","2018Q3","State","Euro Million","79645"
"GVA at Constant Basic Prices","2018Q4","State","Euro Million","81807"
"GVA at Constant Basic Prices","2019Q1","State","Euro Million","77801"
"GVA at Constant Basic Prices","2019Q2","State","Euro Million","80730"
"GVA at Constant Basic Prices","2019Q3","State","Euro Million","84798"
"GVA at Constant Basic Prices","2019Q4","State","Euro Million","86755"
"GVA at Constant Basic Prices","2020Q1","State","Euro Million","86498"
"GVA at Constant Basic Prices","2020Q2","State","Euro Million","83341"
"GVA at Constant Basic Prices","2020Q3","State","Euro Million","95586"
"GVA at Constant Basic Prices","2020Q4","State","Euro Million","91344"
"GVA at Constant Basic Prices","2021Q1","State","Euro Million","96746"
"GVA at Constant Basic Prices","2021Q2","State","Euro Million","101138"
"GVA at Constant Basic Prices","2021Q3","State","Euro Million","107247"
"GVA at Constant Basic Prices","2021Q4","State","Euro Million","104256"
"GVA at Constant Basic Prices","2022Q1","State","Euro Million","104768"
"GVA at Constant Basic Prices","2022Q2","State","Euro Million","111260"
"GVA at Constant Basic Prices","2022Q3","State","Euro Million","117834"
